epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,8191.41,0.84629,0.70809,1.22425,0.95818,0.94754,0.98001,0.8659,0.57024,0.32213,0.9591,0.000221083,0.000221083,0.000221083
95,8464.1,0.83532,0.70744,1.22088,0.95578,0.95008,0.97948,0.86537,0.57142,0.32388,0.96381,0.000220234,0.000220234,0.000220234
96,8736.05,0.82667,0.6887,1.2168,0.95482,0.9488,0.97868,0.86821,0.56549,0.32401,0.96115,0.000219386,0.000219386,0.000219386
97,9014.74,0.84427,0.70849,1.22706,0.94657,0.95932,0.97968,0.86616,0.5674,0.32474,0.96025,0.000218537,0.000218537,0.000218537
98,9287.26,0.84182,0.71454,1.22126,0.95574,0.95493,0.97973,0.86758,0.56827,0.32976,0.95784,0.000217689,0.000217689,0.000217689
99,9559.83,0.83146,0.70412,1.21548,0.95246,0.95603,0.97912,0.86601,0.56797,0.32732,0.95733,0.00021684,0.00021684,0.00021684
100,9832.25,0.83182,0.70556,1.21967,0.94858,0.9524,0.97895,0.86547,0.5625,0.32595,0.95736,0.000215991,0.000215991,0.000215991
101,10104.4,0.82704,0.70843,1.21997,0.9474,0.95454,0.97871,0.86607,0.56221,0.32534,0.95823,0.000215143,0.000215143,0.000215143
102,10377.4,0.82511,0.69508,1.21451,0.95232,0.95318,0.97826,0.86465,0.56521,0.32617,0.95763,0.000214294,0.000214294,0.000214294
103,10650.5,0.82448,0.68993,1.20989,0.95842,0.95115,0.97739,0.86294,0.56699,0.32796,0.95686,0.000213446,0.000213446,0.000213446
104,10923.1,0.82213,0.68226,1.21983,0.95579,0.95424,0.97717,0.864,0.56669,0.325,0.95748,0.000212597,0.000212597,0.000212597
105,11195.1,0.82047,0.68431,1.20961,0.95267,0.94823,0.97756,0.86474,0.56276,0.32468,0.95459,0.000211749,0.000211749,0.000211749
106,11466.1,0.82302,0.68388,1.21177,0.94779,0.954,0.97735,0.8662,0.55945,0.32158,0.95101,0.0002109,0.0002109,0.0002109
107,11738.9,0.83109,0.69067,1.21203,0.94561,0.9517,0.97721,0.86537,0.55914,0.32462,0.94924,0.000210051,0.000210051,0.000210051
108,12010,0.84164,0.7087,1.21731,0.95312,0.94607,0.97765,0.86509,0.56259,0.32461,0.94958,0.000209203,0.000209203,0.000209203
109,12281.5,0.83677,0.70202,1.2167,0.96128,0.94216,0.97866,0.86578,0.56292,0.32319,0.94852,0.000208354,0.000208354,0.000208354
110,12554,0.83234,0.70356,1.21854,0.96017,0.94729,0.97925,0.86738,0.55789,0.32116,0.94659,0.000207506,0.000207506,0.000207506
111,12825.3,0.82975,0.70789,1.21974,0.96356,0.94917,0.97925,0.8682,0.55414,0.31787,0.94508,0.000206657,0.000206657,0.000206657
112,13098.1,0.82943,0.68933,1.21915,0.95828,0.94776,0.97933,0.8681,0.55596,0.31639,0.94528,0.000205809,0.000205809,0.000205809
113,13370.4,0.82817,0.69298,1.2119,0.95976,0.95107,0.97912,0.86776,0.55919,0.31687,0.94591,0.00020496,0.00020496,0.00020496
114,13641.9,0.83977,0.70673,1.22136,0.95932,0.95328,0.97895,0.86689,0.55911,0.31354,0.94687,0.000204111,0.000204111,0.000204111
115,13914.2,0.82305,0.69305,1.21559,0.95557,0.95576,0.9789,0.86802,0.56013,0.31283,0.94692,0.000203263,0.000203263,0.000203263
116,14185.5,0.83447,0.70573,1.22023,0.95901,0.95426,0.97866,0.86824,0.55909,0.31209,0.94735,0.000202414,0.000202414,0.000202414
117,14456.8,0.82131,0.68174,1.20853,0.94967,0.96298,0.97824,0.86941,0.55636,0.30993,0.94723,0.000201566,0.000201566,0.000201566
118,14731.7,0.81025,0.67052,1.20273,0.9561,0.9589,0.97873,0.86948,0.55547,0.31113,0.94756,0.000200717,0.000200717,0.000200717
119,15004,0.81122,0.66786,1.20472,0.95511,0.95994,0.97984,0.87218,0.5516,0.3105,0.94625,0.000199869,0.000199869,0.000199869
120,260.687,0.77618,0.62881,1.18353,0.95169,0.95997,0.97981,0.87142,0.55639,0.3115,0.94905,0.00019902,0.00019902,0.00019902
121,522.899,0.79072,0.64514,1.18777,0.94937,0.96125,0.97933,0.87154,0.55654,0.31258,0.94797,0.000198171,0.000198171,0.000198171
122,784.9,0.79091,0.65476,1.19435,0.95004,0.96187,0.97957,0.87134,0.55642,0.31308,0.94752,0.000197323,0.000197323,0.000197323
123,1046.21,0.78876,0.6482,1.19194,0.96045,0.94944,0.97973,0.87188,0.55471,0.31327,0.9476,0.000196474,0.000196474,0.000196474
124,1307.13,0.78996,0.64825,1.18862,0.96349,0.94765,0.97962,0.87156,0.55477,0.31262,0.9469,0.000195626,0.000195626,0.000195626
125,1568.14,0.78448,0.6345,1.18282,0.96236,0.94731,0.9796,0.8724,0.55307,0.3127,0.94554,0.000194777,0.000194777,0.000194777
126,1835.6,0.78788,0.64584,1.18881,0.96474,0.94687,0.97924,0.87383,0.55232,0.31257,0.94491,0.000193929,0.000193929,0.000193929
127,2097.45,0.78102,0.64848,1.19197,0.96301,0.94873,0.97909,0.87331,0.55035,0.31245,0.94513,0.00019308,0.00019308,0.00019308
128,2358.85,0.7728,0.6312,1.17764,0.9653,0.94588,0.97934,0.87463,0.5507,0.31113,0.94509,0.000192231,0.000192231,0.000192231
129,2623.66,0.7825,0.64067,1.18342,0.964,0.94937,0.97866,0.87491,0.55139,0.31058,0.94499,0.000191383,0.000191383,0.000191383
130,2885.78,0.77853,0.63982,1.18481,0.96454,0.94785,0.97893,0.87524,0.55036,0.30963,0.94489,0.000190534,0.000190534,0.000190534
131,3151.24,0.77364,0.62676,1.1789,0.95854,0.95062,0.97893,0.87476,0.55083,0.30959,0.9456,0.000189686,0.000189686,0.000189686
132,3411.69,0.77134,0.64046,1.18311,0.9645,0.94721,0.97864,0.87421,0.54911,0.30799,0.94521,0.000188837,0.000188837,0.000188837
133,3672.28,0.77219,0.6268,1.18083,0.9646,0.94622,0.97882,0.87515,0.5486,0.3074,0.94529,0.000187989,0.000187989,0.000187989
134,3933.09,0.77425,0.63105,1.17817,0.95141,0.95879,0.97944,0.87525,0.54739,0.30496,0.94513,0.00018714,0.00018714,0.00018714
135,4194.42,0.77169,0.62587,1.17456,0.95405,0.95829,0.98004,0.87586,0.54718,0.30509,0.94579,0.000186291,0.000186291,0.000186291
136,4458.49,0.76337,0.61457,1.17014,0.96351,0.94822,0.98002,0.87604,0.54764,0.30431,0.94673,0.000185443,0.000185443,0.000185443
137,4724.32,0.76441,0.61513,1.16893,0.96334,0.95129,0.98026,0.87616,0.54794,0.30389,0.94716,0.000184594,0.000184594,0.000184594
138,4992.23,0.76418,0.62137,1.17601,0.96554,0.94692,0.98033,0.87476,0.54861,0.3041,0.94795,0.000183746,0.000183746,0.000183746
139,5253.72,0.76408,0.61775,1.17852,0.96047,0.95293,0.98015,0.87546,0.54822,0.30293,0.94827,0.000182897,0.000182897,0.000182897
140,5515.02,0.75557,0.61079,1.17125,0.9593,0.95391,0.97992,0.87626,0.54805,0.30262,0.94834,0.000182049,0.000182049,0.000182049
141,5779.83,0.75138,0.60136,1.16396,0.96048,0.95202,0.97974,0.87645,0.5473,0.30254,0.94816,0.0001812,0.0001812,0.0001812
142,259.645,0.68922,0.53794,1.12572,0.9594,0.95427,0.98015,0.87701,0.54741,0.30259,0.94794,0.000180351,0.000180351,0.000180351
143,527.972,0.70848,0.55982,1.1379,0.96048,0.95243,0.98005,0.87692,0.54749,0.30348,0.94757,0.000179503,0.000179503,0.000179503
144,790.563,0.71959,0.57789,1.14764,0.96414,0.94962,0.98029,0.87708,0.54754,0.30444,0.94724,0.000178654,0.000178654,0.000178654
145,1053.08,0.71516,0.57193,1.14523,0.96569,0.94834,0.98009,0.87675,0.54748,0.30405,0.94684,0.000177806,0.000177806,0.000177806
146,1314.85,0.72114,0.5741,1.14567,0.96561,0.94971,0.98039,0.87698,0.54721,0.30449,0.94663,0.000176957,0.000176957,0.000176957
147,1576.77,0.71918,0.56943,1.14546,0.96374,0.94985,0.98034,0.87621,0.54675,0.30405,0.94649,0.000176109,0.000176109,0.000176109
148,1839.52,0.72402,0.58145,1.14659,0.96374,0.9494,0.98021,0.8761,0.54634,0.30278,0.9464,0.00017526,0.00017526,0.00017526
149,2101.84,0.728,0.58754,1.15435,0.96458,0.94969,0.98028,0.8759,0.54571,0.30298,0.9462,0.000174411,0.000174411,0.000174411
150,2363.68,0.71962,0.57586,1.14466,0.96369,0.95055,0.97989,0.87611,0.54573,0.30248,0.94608,0.000173563,0.000173563,0.000173563
151,266.183,0.64331,0.49979,1.10664,0.96378,0.95034,0.98004,0.87627,0.54578,0.30265,0.94619,0.000172714,0.000172714,0.000172714
152,536.083,0.67515,0.52977,1.1216,0.96312,0.95034,0.98003,0.87599,0.5463,0.30252,0.94658,0.000171866,0.000171866,0.000171866
153,806.201,0.69246,0.55076,1.12925,0.96323,0.94977,0.97965,0.8763,0.54632,0.3026,0.94675,0.000171017,0.000171017,0.000171017
154,1076.55,0.69626,0.54982,1.13404,0.96365,0.9501,0.9797,0.87662,0.54629,0.30219,0.94711,0.000170169,0.000170169,0.000170169
155,1345.62,0.70081,0.55815,1.13384,0.96366,0.94956,0.97957,0.87626,0.54571,0.30234,0.94688,0.00016932,0.00016932,0.00016932
156,1615.36,0.7063,0.55641,1.13405,0.96488,0.94961,0.97955,0.87643,0.54555,0.30283,0.9471,0.000168471,0.000168471,0.000168471
157,1883.22,0.71696,0.57435,1.1445,0.96432,0.94822,0.9795,0.87636,0.5455,0.3033,0.94749,0.000167623,0.000167623,0.000167623
158,2152.26,0.72011,0.58144,1.15014,0.96403,0.9477,0.97945,0.87626,0.54494,0.30275,0.9472,0.000166774,0.000166774,0.000166774
159,2419.57,0.70348,0.55968,1.1312,0.96416,0.94904,0.9794,0.87636,0.54504,0.30287,0.94684,0.000165926,0.000165926,0.000165926
160,2688.14,0.73458,0.5821,1.1506,0.96403,0.94941,0.97888,0.87621,0.54522,0.30223,0.94664,0.000165077,0.000165077,0.000165077
161,2956.37,0.72901,0.58725,1.1519,0.9642,0.9499,0.9789,0.87671,0.54515,0.30217,0.94682,0.000164229,0.000164229,0.000164229
162,3225.15,0.72722,0.5796,1.14318,0.96395,0.95021,0.97884,0.87683,0.54597,0.3018,0.94773,0.00016338,0.00016338,0.00016338
163,3493.62,0.73103,0.59475,1.14784,0.96464,0.94989,0.97917,0.87677,0.54668,0.30074,0.94867,0.000162531,0.000162531,0.000162531
164,3761.72,0.73093,0.58352,1.14946,0.96572,0.94985,0.97899,0.87651,0.54667,0.3004,0.94945,0.000161683,0.000161683,0.000161683
165,4029.86,0.73564,0.59182,1.15424,0.9656,0.94994,0.97899,0.8759,0.547,0.29927,0.94962,0.000160834,0.000160834,0.000160834
