epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,506.991,1.03438,0.97356,1.30002,0.93848,0.93736,0.97012,0.80365,0.73363,0.42189,0.97934,0.007624,0.007624,0.007624
74,672.78,1.02756,0.96511,1.30017,0.92559,0.92988,0.96601,0.80837,0.71041,0.42914,0.97011,0.007591,0.007591,0.007591
75,841.405,1.02165,0.96242,1.28948,0.93485,0.92353,0.96531,0.80666,0.69368,0.43574,0.96324,0.007558,0.007558,0.007558
76,1008.08,1.02028,0.95114,1.28978,0.93372,0.92571,0.96546,0.80728,0.70246,0.43255,0.96876,0.007525,0.007525,0.007525
77,1173.97,1.0255,0.96069,1.29326,0.94196,0.92866,0.96979,0.80558,0.73198,0.41823,0.97477,0.007492,0.007492,0.007492
78,1341.13,1.02638,0.96333,1.29586,0.93842,0.93288,0.96959,0.8091,0.71335,0.41211,0.96732,0.007459,0.007459,0.007459
79,1507.26,1.00809,0.94257,1.28244,0.94016,0.93755,0.97042,0.80607,0.71312,0.4175,0.96593,0.007426,0.007426,0.007426
80,1675.76,1.01898,0.94684,1.28448,0.94357,0.93549,0.97117,0.81232,0.70819,0.40523,0.96636,0.007393,0.007393,0.007393
81,1845.9,1.00803,0.94717,1.28429,0.94876,0.93479,0.97169,0.81168,0.70844,0.39972,0.96791,0.00736,0.00736,0.00736
82,2014.25,1.00499,0.93304,1.27822,0.95238,0.94147,0.97137,0.80885,0.71797,0.40039,0.97088,0.007327,0.007327,0.007327
83,2182.42,1.01407,0.94807,1.28312,0.93649,0.94295,0.96831,0.81124,0.7072,0.40891,0.96404,0.007294,0.007294,0.007294
84,2350.44,1.00767,0.93154,1.27676,0.94815,0.93302,0.96869,0.81132,0.70233,0.40431,0.96547,0.007261,0.007261,0.007261
85,2517.81,1.00895,0.93616,1.27843,0.936,0.94458,0.97114,0.81893,0.68515,0.40198,0.95881,0.007228,0.007228,0.007228
86,2686.89,1.00546,0.91977,1.27399,0.94009,0.94354,0.97101,0.82019,0.68008,0.39362,0.95589,0.007195,0.007195,0.007195
87,2852.92,1.00097,0.91799,1.27279,0.94831,0.9246,0.9703,0.81824,0.68263,0.39851,0.95618,0.007162,0.007162,0.007162
88,3020.95,0.99431,0.9059,1.26863,0.95032,0.92689,0.97112,0.81719,0.69173,0.39896,0.95728,0.007129,0.007129,0.007129
89,3188.51,0.99519,0.90827,1.27251,0.94955,0.92412,0.97089,0.81655,0.69466,0.3973,0.96245,0.007096,0.007096,0.007096
90,3357.7,0.99334,0.90785,1.26845,0.93906,0.94605,0.97087,0.81879,0.69606,0.39969,0.95875,0.007063,0.007063,0.007063
91,3527.67,0.9921,0.9113,1.2699,0.93998,0.94191,0.9723,0.81669,0.6953,0.39913,0.9579,0.00703,0.00703,0.00703
92,3693.8,0.98819,0.88867,1.26235,0.94712,0.94391,0.97265,0.82039,0.6854,0.39694,0.95528,0.006997,0.006997,0.006997
93,3861.4,0.99283,0.91183,1.27125,0.94361,0.94731,0.97215,0.82239,0.67999,0.39238,0.9528,0.006964,0.006964,0.006964
94,4032.95,0.99037,0.90471,1.26465,0.94198,0.94818,0.97178,0.82034,0.69344,0.3901,0.95728,0.006931,0.006931,0.006931
95,4199.56,0.98672,0.8994,1.26369,0.94345,0.94202,0.97141,0.82074,0.68391,0.39054,0.95238,0.006898,0.006898,0.006898
96,4366.34,0.98552,0.89688,1.26638,0.93857,0.93861,0.97173,0.82209,0.6751,0.39053,0.95144,0.006865,0.006865,0.006865
97,4531.88,0.98307,0.88914,1.25928,0.94559,0.93819,0.97111,0.82415,0.68312,0.38686,0.95509,0.006832,0.006832,0.006832
98,4698.07,0.9815,0.88896,1.25811,0.95713,0.93319,0.97428,0.82612,0.6793,0.38518,0.95051,0.006799,0.006799,0.006799
99,4866.76,0.97584,0.88902,1.2525,0.95198,0.93853,0.97424,0.82668,0.67605,0.38447,0.95026,0.006766,0.006766,0.006766
100,5036.42,0.97387,0.87562,1.2563,0.95574,0.93087,0.97344,0.82565,0.67296,0.385,0.95041,0.006733,0.006733,0.006733
101,5203.08,0.9714,0.87682,1.25557,0.95526,0.93232,0.97462,0.82903,0.67023,0.3782,0.95176,0.0067,0.0067,0.0067
